,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
tensorflow-r1.0,merge_summary,initialize_all_variables,histogram_summary,initialize_local_variables,image_summary,scalar_summary,var_scope,merge_all_summaries,listdiff,initialize_variables,all_variables,audio_summary,initialize_all_tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r1.3,argmin,argmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r1.5,sparse_precision_at_k,quantize_v2,from_sparse_tensor_slices,l2_normalize,sparse_average_precision_at_k,softmax_cross_entropy_with_logits,import_graph_def,cosine_distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r1.6,conv1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r1.10,create_op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r1.11,add_meta_graph_and_variables,add_queue_runner,disable_resource_variables,add_meta_graph,start_queue_runners,increment_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r1.12,input_producer,batch_join,string_input_producer,limit_epochs,range_input_producer,maybe_shuffle_batch_join,maybe_batch,shuffle_batch,VARIABLES,sparse_to_dense,maybe_shuffle_batch,slice_input_producer,batch,Print,shuffle_batch_join,maybe_batch_join,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r1.13,main_op_with_restore,tensor_shape_from_node_def_name,kl_divergence,max_pooling3d,dropout,max_pooling1d,shard,batch_scatter_update,fractional_max_pool,average_pooling2d,create_partitioned_variables,from_keras_model_file,load,main_op,conv2d_transpose,div,py_func,from_session,to_double,colocate_with,separable_conv2d,toco_convert,stateless_multinomial,to_complex64,static_rnn,tf_record_iterator,static_bidirectional_rnn,to_float,init,from_frozen_graph,fractional_avg_pool,count_up_to,softmax_cross_entropy_with_logits_v2_helper,set_stats_aggregator,conv3d,cross_entropy,get_checkpoint_mtimes,from_saved_model,checkpoint_exists,remove_training_nodes,create_summary_file_writer,max_pooling2d,simple_save,update_checkpoint_state,remove_checkpoint,multinomial,to_int64,sample_distorted_bounding_box,to_complex128,clip_by_average_norm,sparse_merge,to_bfloat16,average_pooling3d,separable_conv1d,load_file_system_library,bidirectional_dynamic_rnn,convert_variables_to_constants,build_tensor_info,flatten,get_tensor_from_tensor_info,test_session,extract_sub_graph,batch_normalization,dense,setdiff1d,conv2d,substr_deprecated,to_int32,conv3d_transpose,average_pooling1d,must_run_on_cpu,dynamic_rnn
tensorflow-r1.14,where,output_shapes,filter_with_legacy_function,enumerate_dataset,make_initializable_iterator,make_one_shot_iterator,shuffle_and_repeat,static_state_saving_rnn,parallel_interleave,map_with_legacy_function,output_classes,map_and_batch,map_and_batch_with_legacy_function,batch_gather,output_types,graph,weighted_cross_entropy_with_logits,initialized_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r1.15,alias_inplace_add,export_saved_model,alias_inplace_sub,inplace_update,compute_gradient_error,compute_gradient,apply,vector,inplace_sub,scalar,cpu,add_variable,unbatch,gpu,matrix,alias_inplace_update,inplace_add,load_from_saved_model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r2.0,multi_gpu_model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r2.1,do_quantize_training_on_graphdef,graph_parents,read_data_sets,is_gpu_available,predict_generator,evaluate_generator,auc,fit_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r2.2,while_loop_v2,foldl_v2,initialize,scan_v2,convert_all_kernels_in_model,experimental_ref,predict_classes,predict_proba,map_fn_v2,foldr_v2,experimental_run_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow-r2.3,start_tracing,make_saveable_from_iterator,start,terminate_keras_multiprocessing_pools,set_learning_phase,stop,learning_phase_scope,maybe_create_event_file,experimental_run_functions_eagerly,get_updates_for,get_next_as_optional,start_profiler_server,experimental_make_numpy_dataset,legacy_snapshot,random_binomial,experimental_functions_run_eagerly,run_multiple_tasks_in_processes,join_independent_workers,get_losses_for,stream_stderr,updates,monitor,save,state_updates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
