,0,1,2,3,4
./models-r2.2.0/official/recommendation/data_preprocessing.py,load,,,,
./models-r2.2.0/official/recommendation/data_pipeline.py,flatten,,,,
./models-r2.2.0/official/recommendation/movielens.py,apply,,,,
./models-r2.2.0/official/utils/misc/distribution_utils.py,flatten,,,,
./models-r2.2.0/official/vision/detection/utils/object_detection/visualization_utils.py,py_func,,,,
./models-r2.2.0/official/vision/detection/utils/object_detection/ops.py,sparse_to_dense,,,,
./models-r2.2.0/official/vision/detection/evaluation/coco_utils.py,apply,parallel_interleave,make_one_shot_iterator,,
./models-r2.2.0/official/vision/image_classification/mnist_main.py,batch,,,,
./models-r2.2.0/official/r1/mnist/mnist_eager.py,is_gpu_available,,,,
./models-r2.2.0/official/r1/mnist/mnist.py,make_one_shot_iterator,,,,
./models-r2.2.0/official/r1/transformer/ffn_layer.py,to_int32,,,,
./models-r2.2.0/official/r1/transformer/embedding_layer.py,to_float,,,,
./models-r2.2.0/official/r1/transformer/transformer_main.py,to_float,,,,
./models-r2.2.0/official/r1/transformer/dataset.py,apply,,,,
./models-r2.2.0/official/r1/resnet/resnet_model.py,max_pooling2d,dense,batch_normalization,,
./models-r2.2.0/official/modeling/hyperparams/params_dict.py,load,,,,
./models-r2.2.0/official/modeling/tf_utils.py,flatten,,,,
./models-r2.2.0/official/nlp/transformer/metrics.py,softmax_cross_entropy_with_logits,to_float,,,
./models-r2.2.0/official/nlp/transformer/data_pipeline.py,apply,,,,
./models-r2.2.0/official/nlp/transformer/utils/metrics.py,to_int32,,,,
./models-r2.2.0/official/nlp/transformer/beam_search_v1.py,flatten,,,,
./models-r2.2.0/official/nlp/transformer/data_download.py,tf_record_iterator,,,,
./models-r2.2.0/official/nlp/xlnet/run_squad.py,load,,,,
./models-r2.2.0/official/nlp/xlnet/xlnet_config.py,load,,,,
./models-r2.2.0/official/nlp/xlnet/data_utils.py,apply,load,sparse_to_dense,map_and_batch,parallel_interleave
./models-r2.2.0/official/nlp/xlnet/squad_utils.py,load,,,,
./models-r2.2.0/official/nlp/xlnet/preprocess_pretrain_data.py,load,,,,
./models-r2.2.0/official/nlp/data/squad_lib.py,load,,,,
./models-r2.2.0/official/nlp/data/squad_lib_sp.py,load,,,,
